POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;ATTIVA_IMMESSA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;REATTIVA_INDUTTIVA_IMMESSA;CONSUMO_REATTIVA_CAPACITIVA_PRELEVATA;REATTIVA_CAPACITIVA_IMMESSA;CONSUMO_PICCO_PRELEVATA;CONSUMO_PICCO_IMMESSA;TIPO_DATO
IT012E00801406;20250418;44500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;50000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;51500;2;0.016;;0;;;;2.096;0;E
IT012E00801406;20250418;53000;2;0.024;;0;;;;2.096;0;E
IT012E00801406;20250418;54500;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250418;60000;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;61500;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;63000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;64500;2;0.023;;0;;;;2.096;0;E
IT012E00801406;20250418;70000;2;0.019;;0;;;;2.096;0;E
IT012E00801406;20250418;71500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;73000;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;74500;2;0.01;;0;;;;2.096;0;E
IT012E00801406;20250418;80000;2;0.014;;0;;;;2.096;0;E
IT012E00801406;20250418;81500;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250418;83000;2;0.013;;0;;;;2.096;0;E
IT012E00801406;20250418;84500;2;0.009;;0;;;;2.096;0;E
IT012E00801406;20250418;90000;2;0.031;;0;;;;2.096;0;E
IT012E00801406;20250418;91500;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250418;93000;2;0.038;;0;;;;2.096;0;E
IT012E00801406;20250418;94500;2;0.044;;0;;;;2.096;0;E
IT012E00801406;20250418;100000;2;0.022;;0;;;;2.096;0;E
IT012E00801406;20250418;101500;2;0.039;;0;;;;2.096;0;E
IT012E00801406;20250418;103000;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250418;104500;2;0.04;;0;;;;2.096;0;E
IT012E00801406;20250418;110000;2;0.037;;0;;;;2.096;0;E
IT012E00801406;20250418;111500;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250418;113000;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250418;114500;2;0.025;;0;;;;2.096;0;E
IT012E00801406;20250418;120000;2;0.043;;0;;;;2.096;0;E
IT012E00801406;20250418;121500;2;0.034;;0;;;;2.096;0;E
IT012E00801406;20250418;123000;2;0.024;;0;;;;2.096;0;E
IT012E00801406;20250418;124500;2;0.037;;0;;;;2.096;0;E
IT012E00801406;20250418;130000;2;0.024;;0;;;;2.096;0;E
IT012E00801406;20250418;131500;2;0.042;;0;;;;2.096;0;E
IT012E00801406;20250418;133000;2;0.034;;0;;;;2.096;0;E
IT012E00801406;20250418;134500;2;0.029;;0;;;;2.096;0;E
IT012E00801406;20250418;140000;2;0.026;;0;;;;2.096;0;E
IT012E00801406;20250418;141500;2;0.031;;0;;;;2.096;0;E
